,event_id,group,similarity,amplitude_ratio
75,20190116T050748Z,1622,0.7024793513961763,1.1444812063648777
76,20190116T051158Z,1689,0.8361727302471167,0.6671716769970214
77,20190116T051303Z,699,0.8361431233782625,1.0234431946629345
78,20190116T051452Z,1222,0.5044892830973727,0.22103398559341444
79,20190116T051818Z,1801,0.5301240861479249,0.48966121530528867
80,20190116T052041Z,1801,0.5407116881740279,0.5132338797990953
81,20190116T052223Z,1309,0.7112117528676822,1.7409697203035526
82,20190116T054150Z,1223,0.6143802904908308,0.2305900253982521
83,20190116T054540Z,1057,0.8035782551163906,0.6289830978232871
84,20190116T055105Z,1309,0.6565955716479399,2.146069999629657
85,20190116T055340Z,1689,0.5921297405173263,0.403530966451598
86,20190116T055425Z,699,0.8703445687772052,0.936074573264378
87,20190116T055600Z,1309,0.5065853888377462,1.3830275894531014
88,20190116T060323Z,1801,0.53714412165184,0.5224284764423978
89,20190116T060907Z,1689,0.5036063691174603,0.19117201659957284
90,20190116T061205Z,1622,0.8211870416305753,1.0211491662862466
91,20190116T061307Z,1801,0.5195989743159347,0.5075787270725463
92,20190116T062019Z,1689,0.500055195643747,0.1889834464497347
93,20190116T062242Z,1309,0.742979509509376,1.9174222794020876
94,20190116T062510Z,1309,0.5293848250100811,1.5467354936108741
95,20190116T063033Z,699,0.8765689069676916,0.8736934766594521
96,20190116T063850Z,1309,0.674099327321627,1.6727843976249124
97,20190116T064408Z,1309,0.7196246915692753,1.590498694839176
98,20190116T064444Z,699,0.5066187597988362,0.39769650665895756
99,20190116T064847Z,1622,0.7922551657715656,1.2715254136695944
100,20190116T065211Z,1057,0.6385018223235783,0.31121887250808306
101,20190116T070054Z,1689,0.7980164253092259,0.45827080582457386
102,20190116T070207Z,1801,0.5329439087575262,0.4373108934988977
103,20190116T071515Z,1622,0.5237575412935614,15.6252166632346
104,20190116T071646Z,1689,0.5282256688462066,1.2759083849926705
105,20190116T071716Z,1689,0.57262935791439,1.030103215566778
106,20190116T072034Z,1309,0.7862555497170309,1.3687015058290688
107,20190116T072118Z,1622,0.522479431259783,1.0345462668708836
108,20190116T073040Z,1309,0.810132569555567,1.3910209226835415
109,20190116T073151Z,1223,0.5085032217118227,0.21303410554590568
110,20190116T073646Z,699,0.5106783088823305,0.3239292954004377
111,20190116T073747Z,1689,0.5575969237426872,0.15570574144543237
112,20190116T074552Z,1801,0.5389342432561166,0.5499893665782138
113,20190116T074642Z,1057,0.508836293793775,0.34213722143810865
114,20190116T074941Z,1057,0.565835928110062,0.24003872744151156
115,20190116T075112Z,1309,0.6693366989434069,1.2090825311452935
116,20190116T075143Z,1622,0.7268867759041804,0.8398319249441847
117,20190116T075346Z,1309,0.6739585595663639,1.3084273534347137
118,20190116T075653Z,1223,0.5556016371678689,0.1759679723074799
119,20190116T075710Z,1791,0.551128591400977,0.4089365999305231
120,20190116T080031Z,699,0.943477967116926,0.9787831306824101
121,20190116T080445Z,699,0.5050751448075127,0.3359870773556249
122,20190116T081018Z,1309,0.8158982604562546,1.3264605379587526
123,20190116T081157Z,1622,0.5013091294350024,0.4757258639631779
124,20190116T081257Z,1801,0.508857727026965,0.3745936091728762
125,20190116T081325Z,1801,0.5073269788147103,0.37555399163654885
126,20190116T082401Z,1622,0.6462216823450573,0.9749718027452235
127,20190116T083131Z,1309,0.5305743358225375,1.1862725225082893
128,20190116T083205Z,1223,0.5136930246258019,0.15940770471052065
129,20190116T083644Z,1689,0.8030482177566937,0.4617961227366667
130,20190116T083707Z,699,0.5084141738877647,0.4217431636336392
131,20190116T084004Z,699,0.9138645780091261,0.9467159896776205
132,20190116T084137Z,1801,0.5198228638338449,0.3867929026088764
133,20190116T084200Z,1801,0.5228935982508093,0.4075409724913713
134,20190116T084329Z,699,0.504159900994946,0.4442977024681148
135,20190116T085242Z,1801,0.6980730849901157,0.5081480355853184
136,20190116T085521Z,1801,0.5500093796702106,0.4077392816121477
137,20190116T085649Z,1622,0.6263124047370063,0.8380458643211066
138,20190116T085818Z,1801,0.5113810370072436,0.37575053875109427
139,20190116T090001Z,1223,0.5287580336103749,0.1404756416915722
140,20190116T090559Z,1222,0.5224857001938283,0.20084537797733476
141,20190116T091120Z,1309,0.862271815830386,1.8716157933803736
142,20190116T091440Z,1689,0.6140810321823678,0.3670900743576473
143,20190116T091509Z,1309,0.5325725381859624,1.3779464418246574
144,20190116T091602Z,1801,0.5436246447848375,0.39701229967728185
145,20190116T092001Z,699,0.520366017121449,0.6475784507656739
146,20190116T093030Z,1057,0.711069203162731,0.945440052369986
147,20190116T093306Z,1309,0.6188531106077224,1.3355482422301892
